Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
26,True,2020-March-13 08:09,ta/d_dataset_p2/prep_data_20,senet,0.02022480252011565,0.14042271603065154,0.9216078700044712,0.01994570776853381,0.1393432826230951,0.9220150841138536,0.019815142563455884,0.13883439465952765,0.9227257374452241,,,6730.597933530808,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
1,True,2020-March-13 14:27,ta/d_dataset_p2/prep_data_20,senet,0.013304878651194384,0.11383676324684293,0.9483566804380884,0.01721513405013035,0.1289047513515031,0.9320872092402483,0.017327626736717266,0.12932649143868127,0.9319868821252448,,,2810.277590513229,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
3,True,2020-March-13 15:21,ta/d_dataset_p2/prep_data_20,senet,0.007191496421177885,0.08411530193468017,0.9712922776012092,0.016461119972250023,0.12559776051489896,0.9352384125160742,0.016662066745471604,0.12632911339925454,0.9345308459899208,,,3183.531453132629,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
5,True,2020-March-13 16:12,ta/d_dataset_p2/prep_data_20,senet,0.010062753816176174,0.0989453562181226,0.9605543360343122,0.015198739017890487,0.12087727261542802,0.9397581811374736,0.015307871289290415,0.12118625892911945,0.9397357366976484,,,3031.5831060409546,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
9,True,2020-March-13 17:54,ta/d_dataset_p2/prep_data_20,senet,0.01378110565923533,0.11584157800303928,0.9464539982905646,0.017342072439081802,0.12947707315132434,0.9315925816950426,0.01725562364882644,0.12909593467960956,0.9321450393614132,,,3518.695364713669,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
11,True,2020-March-13 18:58,ta/d_dataset_p2/prep_data_20,senet,0.007239846395352455,0.08436598178217991,0.9711028365199776,0.016424103725979012,0.12554292210708035,0.9354644573900388,0.016247307509421008,0.12474826111776192,0.9365027817759816,,,3831.825417280197,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
13,True,2020-March-13 20:00,ta/d_dataset_p2/prep_data_20,senet,0.009697721994475885,0.0971195270241102,0.9620931467999554,0.014942838269138243,0.1198090311316252,0.9410856693400079,0.014979218555475632,0.11995338754530878,0.9410976831464604,,,3659.534195184708,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
24,True,2020-March-14 00:14,ta/d_dataset_p2/prep_data_20,senet,0.016624719784126073,0.12724620997012032,0.9356633783493876,0.01674753124810836,0.12753154409428755,0.9342105461826076,0.016842393184413884,0.12785115958073262,0.9342247200661732,,,12652.77972173691,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
29,True,2020-March-14 06:19,ta/d_dataset_p2/prep_data_20,senet,0.009324950221223198,0.09522201812848173,0.9636851451650956,0.015189024527277975,0.12093317578451092,0.9401940186095792,0.015078737123624526,0.12038666955919736,0.9409335054667136,,,6803.664127588271,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
30,True,2020-March-14 08:15,ta/d_dataset_p2/prep_data_20,senet,0.01599311927030874,0.12498946680179684,0.9380348092118774,0.017625970151785224,0.13089265298862182,0.9308348676839344,0.01764150985287186,0.13090392461510975,0.9308612187816762,,,6887.114074945451,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
33,True,2020-March-14 10:16,ta/d_dataset_p2/prep_data_20,senet,0.012731939656726754,0.1113287814154924,0.9504892402498244,0.016304523864894973,0.1254229836192852,0.9357711317068992,0.01676460717378491,0.12703582378308,0.9342486744237308,,,4980.1803884506235,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
34,True,2020-March-14 11:40,ta/d_dataset_p2/prep_data_20,senet,0.017387998027254808,0.13027075203349495,0.9329409112964554,0.018843563028120985,0.1353034118384444,0.9261150007287636,0.01900256209473827,0.13588356337730212,0.9256785298038106,,,4991.75094127655,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
35,True,2020-March-14 13:08,ta/d_dataset_p2/prep_data_20,senet,0.00707255079595957,0.08343649814042788,0.9717359847739948,0.01707335509819866,0.1278954953273691,0.9329836423330996,0.016829857682153573,0.12696213230123427,0.9341227357863788,,,5238.854794025421,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
36,True,2020-March-14 14:37,ta/d_dataset_p2/prep_data_20,senet,0.014961235230718309,0.12069920759247513,0.9422775437255662,0.017840642272183502,0.13153883475627104,0.9296153236782208,0.018038898336515542,0.13205820600282964,0.9294268327218808,,,5291.093966245651,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
37,True,2020-March-14 16:13,ta/d_dataset_p2/prep_data_20,senet,0.008808430389387606,0.09255694649825286,0.965579286354163,0.0147796946842719,0.11921751538652375,0.9415796497044768,0.014988987858956743,0.11991157585774954,0.9411308834807492,,,5665.476445198059,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
39,True,2020-March-14 18:35,ta/d_dataset_p2/prep_data_20,senet,0.007189338498855997,0.0839865041500189,0.9714087959815064,0.01539057027252141,0.12150134597567652,0.9392999901515084,0.015810617517838806,0.1229963453726692,0.9378783062692552,,,6441.435977935791,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
41,True,2020-March-14 20:39,ta/d_dataset_p2/prep_data_20,senet,0.01315422811219309,0.11312079877885654,0.9489626048344704,0.01603588434013305,0.12446088272845493,0.9367965995743012,0.016365817637152537,0.1256048319124887,0.9357990671095532,,,6922.252900362017,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
42,True,2020-March-14 22:38,ta/d_dataset_p2/prep_data_20,senet,0.017863630768728284,0.13206767649887946,0.9309555885450458,0.019228456717371032,0.13671530730288525,0.9245578103335212,0.01936764166916274,0.13715557702598413,0.9242662080245828,,,7037.6982979774475,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
43,True,2020-March-15 00:41,ta/d_dataset_p2/prep_data_20,senet,0.0071017613042335314,0.08355312335403756,0.9716620295338726,0.016767819908244226,0.12690206161582576,0.9339198379035992,0.017171285654057143,0.12829053857853953,0.9325583962980531,,,7327.7008125781995,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
44,True,2020-March-15 02:45,ta/d_dataset_p2/prep_data_20,senet,0.015413819198035769,0.12261111531347925,0.9403348759106416,0.01770449319129951,0.1309805930600457,0.9305094749440794,0.01792796950770707,0.13177454896155286,0.929841684571574,,,7352.041074514388,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
45,True,2020-March-15 04:51,ta/d_dataset_p2/prep_data_20,senet,0.010285750534594532,0.09989327769258728,0.9599782080787148,0.01498646146536613,0.1200427209729288,0.9408383142945514,0.015120782007900185,0.1204668863254076,0.9405902226297918,,,7498.330272912978,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
46,True,2020-March-15 06:58,ta/d_dataset_p2/prep_data_20,senet,0.013357043844198451,0.11427784110968207,0.9483928642220756,0.016175280552758183,0.12538147394724736,0.9363277134491432,0.016440583239436948,0.12635670647768846,0.935455779370239,,,7582.8934738636035,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
47,True,2020-March-15 09:16,ta/d_dataset_p2/prep_data_20,senet,0.0065940386944720215,0.08034682206013972,0.9738508146767321,0.015172770483991963,0.12055884790872053,0.9402815452806612,0.015273203610909131,0.1207660810900148,0.9402671865282674,,,8229.809928894043,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
48,True,2020-March-15 11:35,ta/d_dataset_p2/prep_data_20,senet,0.011584928731739259,0.10615754983954898,0.9552084599700886,0.015368216589240228,0.12183896909726125,0.9392382517149056,0.015648968312664064,0.12286112774700042,0.9385660469240638,,,8260.212901115417,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
49,True,2020-March-15 13:50,ta/d_dataset_p2/prep_data_20,senet,0.009491051786666605,0.09615120370678827,0.9630735288450804,0.016388400852025732,0.12574956099647736,0.9354113078955874,0.016260644651588968,0.1250980176271252,0.9364890697282784,,,7964.190004587173,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
50,True,2020-March-15 16:08,ta/d_dataset_p2/prep_data_20,senet,0.01907046666786441,0.1364717604741974,0.9262215608923188,0.01943177704235158,0.13758495212689195,0.9236790981880896,0.01992070675133369,0.13921611530099515,0.9221997931385036,,,8163.700879573822,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
7,True,2020-March-16 08:27,ta/d_dataset_p2/prep_data_20,senet,0.007525009905648195,0.08586479502644376,0.9700685004947116,0.014816398862192088,0.11916453652326192,0.9414657431241541,0.015278488420125485,0.12088003342137195,0.9401492689408292,,,3795.054306745529,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
27,True,2020-March-16 14:38,ta/d_dataset_p2/prep_data_20,senet,0.008180088565127572,0.0894390142667461,0.9679498612889884,0.016863468990564574,0.12733953838836595,0.9337030794643688,0.017111374437571863,0.12816013451472774,0.9330402199314208,,,12340.579849481584,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
40,True,2020-March-16 20:30,ta/d_dataset_p2/prep_data_20,senet,0.011284595653635432,0.10476067587701043,0.9564016265032124,0.015249468926233634,0.12135202786156865,0.9399033985581292,0.015460799019582175,0.12217514426253324,0.9390706868472272,,,6508.542167901994,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
52,True,2020-March-17 00:28,ta/d_dataset_p2/prep_data_20,senet,0.02100436229811703,0.1430543265127946,0.9186567661816144,0.02014548928470349,0.1399767519423852,0.9211058040944424,0.020454427702820733,0.14101845619143838,0.9202025372798452,,,13807.352775335312,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
53,True,2020-March-17 02:56,ta/d_dataset_p2/prep_data_20,senet,0.010972008932385351,0.10326944023972244,0.9575249001758998,0.015451247540654118,0.12210966839677682,0.9392058988404148,0.01536682079398541,0.12169910296141072,0.9396585198887158,,,8774.972181081772,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
54,True,2020-March-17 05:27,ta/d_dataset_p2/prep_data_20,senet,0.01539154574687389,0.12267938606818014,0.9404913641864406,0.01717165678284261,0.12929772874558482,0.9326077520368607,0.01744678125845388,0.13025650843770695,0.9316993936226822,,,8942.465745925903,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
55,True,2020-March-17 09:40,ta/d_dataset_p2/prep_data_20,senet,0.015024165833722609,0.1209907294028446,0.9414794525285012,0.017308635253015785,0.1295791235706718,0.9316597818163176,0.017220365945878186,0.12916125378829227,0.932119123330545,,,15056.384635925293,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
56,True,2020-March-17 13:58,ta/d_dataset_p2/prep_data_20,senet,0.014990622560180885,0.12087242339003615,0.9422508226589924,0.01685874052298327,0.12800606639512954,0.93373416420402,0.017120525510039092,0.12886547155788994,0.9329535548910202,,,15341.747393846512,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
57,True,2020-March-17 16:51,ta/d_dataset_p2/prep_data_20,senet,0.008703889212729934,0.09216467592478712,0.9660041854748056,0.016464475031294768,0.12586669988753935,0.9351588565900668,0.016388427559227075,0.12556105118575026,0.9357680947026288,,,10231.823281288149,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
58,True,2020-March-17 19:42,ta/d_dataset_p2/prep_data_20,senet,0.019121419444406075,0.13657286014734354,0.925957213573528,0.01947039101132916,0.13761159437762194,0.9235964152469184,0.019416025715846302,0.1374061198974834,0.9242485829354647,,,10176.990931272509,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
59,True,2020-March-18 00:00,ta/d_dataset_p2/prep_data_20,senet,0.008577675998732472,0.09153900465079444,0.9664553289619588,0.016653333116562256,0.12658743917826665,0.9345947091296866,0.017002140301653798,0.12783961453207232,0.9332621774842812,,,15286.374822378159,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
60,True,2020-March-18 04:24,ta/d_dataset_p2/prep_data_20,senet,0.02170423494078658,0.14531881578104405,0.915923399459036,0.0203710397578572,0.14070491753842182,0.9202573731882958,0.020067342290836183,0.13963679409300694,0.9218406798790504,,,15724.352717161179,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
61,True,2020-March-18 07:27,ta/d_dataset_p2/prep_data_20,senet,0.010623339799270244,0.10157990590021254,0.9587815911808766,0.015422039633862234,0.12187233429130664,0.9393164811311536,0.015715929683722332,0.12298731079328495,0.9383841074425786,,,10835.9018471241,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
62,True,2020-March-18 10:29,ta/d_dataset_p2/prep_data_20,senet,0.015482451825971575,0.1229656974540522,0.9401236100426462,0.016990399247783526,0.1285966093179324,0.933228918612416,0.017434869659916374,0.1301217802048719,0.9317600238517798,,,10831.284333229063,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
63,True,2020-March-18 15:16,ta/d_dataset_p2/prep_data_20,senet,0.015868987099363085,0.12430495193379368,0.9384452913650336,0.01640640362921716,0.12615908500939413,0.9356869717045306,0.01655467564891016,0.12667333048513707,0.9354411612457184,,,17024.745414495468,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
21,True,2020-March-23 13:47,ta/d_dataset_p2/prep_data_20,senet_unem,0.012565988718697844,0.11055952694366128,0.9512146716139608,0.01622787721568919,0.1252214662162876,0.9360024070173532,0.016495764664570516,0.1261701985938766,0.9353800262462552,,,1109.130721092224,24.0,7.0,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
13,True,2020-March-23 13:58,ta/d_dataset_p2/prep_data_20,senet_unem,0.012572772816894562,0.110583926907448,0.950932440783009,0.01664354805707135,0.12655262762342423,0.9343414208201506,0.0167688220220053,0.12700993830636184,0.9340235851370599,,,642.9108829498291,23.0,7.0,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
