Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
21,True,2020-February-12 15:11,ta/d_dataset_t1/control_data,cnn_bilstm,0.07255894733727966,0.2535458207130432,0.6490194503182181,0.10782071464678547,0.30489182472229004,0.4889763603221773,0.10177134351005968,0.2966061532497406,0.5182939756497509,,,280.8102786540985,36.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
22,True,2020-February-12 15:16,ta/d_dataset_t1/control_data,cnn_bigru,0.07881477209651627,0.2646172642707825,0.6191340816672517,0.1106746454942846,0.3108312487602234,0.4772829541859289,0.10653822895869196,0.30465763807296753,0.4971088724743169,,,271.6822195053101,37.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
23,True,2020-February-12 15:18,ta/d_dataset_t1/control_data,baseline,0.17576644495172136,0.4057677984237671,0.16766715593417258,0.17804653966413234,0.408130019903183,0.15787192905419933,0.17896752635592533,0.4099763631820679,0.15211836429916747,,,66.84658312797546,22.0,15.0,0.001,16,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
24,True,2020-February-12 15:35,ta/d_dataset_t1/control_data,FCNN,0.08287345980539246,0.2736350893974304,0.5977284427994211,0.10541642440226608,0.3066270053386688,0.4997692700067872,0.10158178759159052,0.30144545435905457,0.5168166421069997,,,1041.097722530365,125.0,15.0,0.001,16,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
25,True,2020-February-12 15:47,ta/d_dataset_t1/control_data,lstm,0.0708371784723125,0.2501146197319031,0.6555308542111331,0.10704616034698106,0.30446746945381165,0.4930807379019716,0.10341283093940047,0.2994002401828766,0.5123781476029814,,,675.3206043243407,36.0,15.0,0.001,16,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
26,True,2020-February-12 15:58,ta/d_dataset_t1/control_data,gru,0.07955212084345653,0.2663503289222717,0.614963458168303,0.10747870039524587,0.3065077066421509,0.4919633094231244,0.10273540213167974,0.29990655183792114,0.5142998590045673,,,623.6278653144836,34.0,15.0,0.001,16,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
27,True,2020-February-12 16:10,ta/d_dataset_t1/control_data,bilstm,0.06053476710019282,0.23259904980659485,0.7029574166192138,0.1129228812942908,0.31326964497566223,0.4651830260768077,0.10864617407049608,0.3068985044956207,0.4867986062575506,,,715.794275522232,23.0,15.0,0.001,16,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
28,True,2020-February-12 16:24,ta/d_dataset_t1/control_data,bigru,0.06518699514276978,0.2413115352392197,0.6807728819073728,0.10823944108885128,0.30673688650131226,0.4870142120633255,0.10277546343974968,0.2989746034145355,0.5128068821903039,,,781.7792825698853,27.0,15.0,0.001,16,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
29,True,2020-February-12 16:39,ta/d_dataset_t1/control_data,cnn_bilstm,0.07911489806060856,0.2652702629566193,0.6198244626774254,0.10428593997476034,0.30217453837394714,0.5059665165252855,0.1004100801058322,0.2964039444923401,0.5243290277575725,,,868.4252798557281,32.0,15.0,0.001,16,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
30,True,2020-February-12 16:58,ta/d_dataset_t1/control_data,cnn_bigru,0.08323088624881105,0.2726779878139496,0.6005502211759772,0.10613585561769204,0.3048938512802124,0.4951208375971324,0.10316676580943357,0.30140915513038635,0.5119991584830694,,,1156.9360835552216,45.0,15.0,0.001,16,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
31,True,2020-February-12 16:59,ta/d_dataset_t1/control_data,baseline,0.1607018235000728,0.388962060213089,0.2477252517996472,0.1640352586604472,0.3923495709896088,0.2336453821625356,0.1634396382276158,0.3922901749610901,0.2369389247604725,,,46.07014417648315,21.0,15.0,0.001,32,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
32,True,2020-February-12 17:07,ta/d_dataset_t1/control_data,FCNN,0.0913357500737902,0.28742730617523193,0.5620388654791579,0.10802764342996747,0.31109824776649475,0.4884178045830435,0.1039233766432356,0.3054034113883972,0.5080975107849999,,,460.03526186943054,99.0,15.0,0.001,32,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
33,True,2020-February-12 17:14,ta/d_dataset_t1/control_data,lstm,0.07256998475332521,0.2539678812026977,0.6477459528449809,0.10717506179940284,0.3053832948207855,0.4931939312662259,0.10356393251365964,0.3000794649124145,0.5095530038399245,,,378.1216144561768,36.0,15.0,0.001,32,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
34,True,2020-February-12 17:20,ta/d_dataset_t1/control_data,gru,0.08029516447635462,0.2674710750579834,0.6104660596743328,0.10778342012096853,0.30723947286605835,0.488922869440286,0.10330123229666073,0.3009454011917114,0.5103678615093499,,,363.6316485404968,37.0,15.0,0.001,32,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
35,True,2020-February-12 17:27,ta/d_dataset_t1/control_data,bilstm,0.06225477779408579,0.2357877194881439,0.6956382019200572,0.11383650082135326,0.3139163851737976,0.4624179402054639,0.10903908768035832,0.30692729353904724,0.4847202887325664,,,377.2091870307922,22.0,15.0,0.001,32,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
36,True,2020-February-12 17:36,ta/d_dataset_t1/control_data,bigru,0.06314977909890943,0.2383607178926468,0.6902583302360326,0.11087342303593044,0.31067517399787903,0.4754341833105654,0.10536309957997858,0.3031408190727234,0.5023946492826312,,,515.0705447196959,32.0,15.0,0.001,32,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
37,True,2020-February-12 17:44,ta/d_dataset_t1/control_data,cnn_bilstm,0.0751751555435185,0.2588284909725189,0.6363008362290573,0.1061289601074771,0.3044193685054779,0.4956963865139331,0.10339225754609864,0.3002637028694153,0.5106572460652434,,,419.5220975875855,28.0,15.0,0.001,32,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
38,True,2020-February-12 17:52,ta/d_dataset_t1/control_data,cnn_bigru,0.07413149454010208,0.2575652897357941,0.6406907273329663,0.1062539831476168,0.3048625290393829,0.4970176131306005,0.10212103447221063,0.29899275302886963,0.5169304508380976,,,464.0392861366272,33.0,15.0,0.001,32,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
39,True,2020-February-12 17:52,ta/d_dataset_t1/control_data,baseline,0.14364764346251274,0.3672668933868408,0.3274488890269124,0.14790114722103476,0.3720369338989258,0.308225159157462,0.14509554125628152,0.3694953620433808,0.3225602225279659,,,14.634765863418579,24.0,15.0,0.001,128,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
40,True,2020-February-12 17:57,ta/d_dataset_t1/control_data,FCNN,0.08483736098731742,0.27648457884788513,0.5896283203946503,0.1021707967638561,0.30204692482948303,0.5132416288091572,0.09873916524042747,0.2974751591682434,0.5298418654468771,,,248.30464315414432,167.0,15.0,0.001,128,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
41,True,2020-February-12 17:59,ta/d_dataset_t1/control_data,lstm,0.07471154119578992,0.2578438222408295,0.6377258582227925,0.1077024440793294,0.3061326146125793,0.489695103567425,0.10345992832729163,0.29961052536964417,0.5111775906298042,,,121.53941369056702,41.0,15.0,0.001,128,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
42,True,2020-February-12 18:02,ta/d_dataset_t1/control_data,gru,0.0814645513126266,0.2698652148246765,0.6055512409990192,0.1075172920624642,0.30750226974487305,0.4903306827933263,0.10410509849959684,0.3023920357227325,0.5071957422682061,,,148.63231563568115,54.0,15.0,0.001,128,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
