Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
0,True,2020-April-09 08:41,ta/m_dataset_p2/prep_data_13,baseline,0.122735635,0.344077323,0.511722321,0.11820233699999999,0.336586796,0.52650267,0.117107907,0.334819027,0.534400377,0.385709167,0.592319568,36.09852576,16,7,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
1,True,2020-April-09 08:43,ta/m_dataset_p2/prep_data_13,FCNN,0.054451362999999996,0.230813947,0.784426176,0.051247895,0.22401191199999998,0.7966798190000001,0.050515085,0.222445363,0.8004574870000001,0.29928657399999997,0.726842325,80.99891543,17,7,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
3,True,2020-April-09 08:58,ta/m_dataset_p2/prep_data_13,LTRCNN,0.027437318999999998,0.142509508,0.9164566040000001,0.02800559,0.144095824,0.913205458,0.027957765,0.144053961,0.913691853,0.241072237,0.790600327,746.1654072000001,36,7,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
4,True,2020-April-09 09:17,ta/m_dataset_p2/prep_data_13,senet,0.018636878,0.134846563,0.925396091,0.019465378000000002,0.137514094,0.920951337,0.019315825,0.13694131199999998,0.92240853,0.20511971399999998,0.851234345,1098.5601789999996,60,7,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
5,True,2020-April-09 09:33,ta/m_dataset_p2/prep_data_13,resnet,0.018705249,0.134963566,0.925365581,0.019871648000000002,0.13883019,0.919727544,0.019275702,0.136749288,0.92287558,0.19445233,0.8507961940000001,907.3817529999999,53,7,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
6,True,2020-April-09 09:59,ta/m_dataset_p2/prep_data_13,senet_em,0.015648889,0.12369043,0.937503027,0.020373011,0.14043857,0.91766858,0.02044106,0.14071661900000001,0.917717045,0.203745008,0.849660264,1471.377068,51,7,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
7,True,2020-April-09 10:00,ta/d_dataset_3/prep_data_13,baseline,0.131582515,0.357541924,0.47945531399999997,0.124154474,0.346267125,0.50609881,0.12423099800000001,0.346205445,0.504767552,0.4043403270000001,0.53813061,41.48339939,10,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
8,True,2020-April-09 10:04,ta/d_dataset_3/prep_data_13,FCNN,0.054541039000000006,0.231229109,0.7834737709999999,0.050959196,0.223556029,0.79699667,0.050670527,0.22281099699999998,0.7980157259999999,0.256768614,0.8096137959999999,243.96971749999997,27,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
10,True,2020-April-09 10:38,ta/d_dataset_3/prep_data_13,LTRCNN,0.026308768,0.139808339,0.919778256,0.028296098,0.145804507,0.911101814,0.028739906000000006,0.147222376,0.90920816,0.11966127900000001,0.9594475029999999,1574.318693,40,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
11,True,2020-April-09 11:12,ta/d_dataset_3/prep_data_13,senet,0.020183911000000002,0.14021705199999998,0.9193204759999999,0.020489737,0.14085856,0.917524,0.02075286,0.141699947,0.916237057,0.138662547,0.934643517,1963.982551,57,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
12,True,2020-April-09 11:40,ta/d_dataset_3/prep_data_13,resnet,0.019961347,0.13938856800000002,0.920041562,0.02080961,0.141998654,0.916009028,0.02101237,0.142514478,0.9151171790000001,0.128865555,0.952252717,1620.034882,51,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
13,True,2020-April-09 12:19,ta/d_dataset_3/prep_data_13,senet_em,0.017656147,0.131299746,0.929501624,0.023321565,0.150061075,0.9057521709999999,0.023469034,0.150328653,0.905178457,0.185332209,0.8599688740000001,2229.353188,41,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
14,True,2020-April-09 12:34,ta/d_nospeaker_1/prep_data_13,senet,0.017926403,0.132199244,0.927653847,0.017934889,0.13179912800000002,0.9276605059999999,0.018089661,0.13241015,0.926595043,0.140579864,0.924029398,877.611366,52,7,0.001,64,200,mse,Adam,,"(48162, 24, 39)","(48162, 17)",,
15,True,2020-April-09 12:39,ta/d_nospeaker_1/prep_data_13_noaug,senet,0.019289912,0.13683072300000002,0.922191875,0.021215465,0.143292577,0.9146155559999999,0.021388422999999997,0.14393313300000002,0.913357103,0.12214595800000001,0.956538205,261.4514585,25,7,0.001,64,200,mse,Adam,,"(27522, 24, 39)","(27522, 17)",,
16,True,2020-April-09 13:00,ta/d_dataset_3/prep_data_13_noaug,senet,0.015610706,0.12315022800000001,0.937406383,0.018915823999999998,0.135342861,0.923525178,0.019148775,0.13606574400000002,0.922343613,0.12634147699999998,0.953983968,1173.903472,57,7,0.001,64,200,mse,Adam,,"(57132, 23, 39)","(57132, 17)",,
17,True,2020-April-09 13:18,ta/d_nospeaker_1/prep_data_13,senet_em,0.016637253,0.12729742,0.9333009729999999,0.019314403,0.136782469,0.922433033,0.018371285,0.13341610199999998,0.925740055,0.1420414,0.928319034,983.5441375,35,7,0.001,64,200,mse,Adam,,"(48162, 24, 39)","(48162, 17)",,
18,True,2020-April-09 13:34,ta/d_nospeaker_1/prep_data_13_noaug,senet_em,0.011633525,0.106206173,0.9533491759999999,0.016240383,0.12538175599999998,0.9344924809999999,0.015974297,0.124152153,0.935075862,0.127545774,0.9521959729999999,934.0386684,56,7,0.001,64,200,mse,Adam,,"(27522, 24, 39)","(27522, 17)",,
19,True,2020-April-09 14:05,ta/d_dataset_3/prep_data_13_noaug,senet_em,0.013805138,0.116009073,0.9447860920000001,0.021416967000000002,0.143614112,0.91337437,0.021115045,0.142668038,0.9145368509999999,0.142226443,0.926076885,1772.2303530000006,54,7,0.001,64,200,mse,Adam,,"(57132, 23, 39)","(57132, 17)",,
